"Number","Status","Date/Time","Qty.","Total amount","Items Description","Subtotal","Discount","Sales tax","Delivery","Total","Profits","Payment Method","Customer","Salesperson","Observation"
"17104-1","Sale","06/27/2026 1:35 AM",1,1,"1xChurros de chocolate ","10",0,0,0,"10","2","Cash","","Lucas",""
"17105-1","Sale","06/27/2026 1:41 AM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Cash","","Lucas",""
"17106-1","Sale","06/27/2026 1:48 AM",1,1,"1xCopo 200ml","9",0,0,0,"9","1","Cash","","Lucas",""
"17107-1","Sale","06/27/2026 1:54 AM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Cash","","Lucas",""
"17108-1","Sale","06/27/2026 2:01 AM",1,1,"1xMilkshake 400ml","14",0,0,0,"14","1","Cash","","Lucas",""
"17109-2","Sale","06/28/2026 4:19 PM",2,2,"1xCrepe suíço salgado , 1xChurros doce de leite ","20",0,0,0,"20","4","Pix","","Lucas",""
"17110-2","Sale","06/28/2026 4:27 PM",1,1,"1xCopo 200ml","9",0,0,0,"9","1","Pix","","Lucas",""
"17111-2","Sale","06/28/2026 4:33 PM",1,1,"1xRefri 310ml","7",0,0,0,"7","1","Tarjeta Crédito","","Lucas",""
"17112-2","Sale","06/28/2026 4:43 PM",2,4,"2xMilkshake 500ml, 2xCrepe suíço doce","54",0,0,0,"54","6","Efectivo","","Lucas",""
"17113-2","Sale","06/28/2026 4:43 PM",2,2,"1xCrepe suíço salgado , 1xMilkshake 500ml","26",0,0,0,"26","2","Tarjeta Crédito","","Lucas",""
"17114-2","Sale","06/28/2026 5:07 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Tarjeta Débito","","Lucas",""
"17115-2","Sale","06/28/2026 5:42 PM",2,2,"1xCrepe suíço salgado , 1xChurros de chocolate ","20",0,0,0,"20","4","Tarjeta Débito","","Lucas",""
"17116-2","Sale","06/29/2026 3:00 PM",1,1,"1xMilkshake 500ml","16",0,0,0,"16",0,"Efectivo","","Lucas",""
"17117-2","Sale","06/29/2026 4:18 PM",1,1,"1xChurros de chocolate ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"17118-2","Sale","06/29/2026 4:20 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Efectivo","","Lucas",""
